title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
An Explainable Stacked Machine Learning Approach for Toluene Capture in Metal‐Organic Frameworks: From Predictive Modeling to Interactive Web Platform,"J Zhang, C He, Y Ji, Z Liu, H Gao",2026,6,… To achieve accurate predictions of MOF adsorption … interaction effects based on the SHAP framework to elucidate the nonlinear impact of key structural descriptors and their synergistic …,TENxsD7UGKgJ,"J Zhang, C He, Y Ji, Z Liu, H Gao - Carbon Neutralization, 2026 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/cnl2.70105,unknown,unknown
Machine learning-based optimization and interpretation of the adsorption capacities of metal-organic frameworks for endocrine-disrupting compounds,"HG Kim, BM Jun, H Jeong, Y Yoon, KH Cho",2025,3,"… Detailed descriptions and mathematical formulations of … planar aromatic structure may favor π–π interactions with MOF linkers, … and synergistic interactions captured by the SHAP values. …",SBVF0kHd5SIJ,"HG Kim, BM Jun, H Jeong, Y Yoon, KH Cho - Journal of Water Process …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2214714425021786,unknown,unknown
Structure-based machine learning with standardized feature selection for screening MOFs with high ammonia capture capacity,"H Ti, L Yang, W Yan, Y Chen, F Yang, Y Yue…",2025,3,"… In this study, based on the MOF structures in mol file format, … ; and SHAP interaction plots captured the potential synergistic … to exclude MOF structures incapable of NH 3 adsorption, …",lSCDxtvy0l4J,"H Ti, L Yang, W Yan, Y Chen, F Yang, Y Yue… - Process Safety and …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0957582025012224,unknown,unknown
Deciphering the multivariable interactions of MOFs in heavy metal adsorption via explainable machine learning for sustainable and resource-efficient adsorbent …,"M Jiang, W Fu, X Zhao, R Gao, D Xu, S Wang",2026,0,… strong synergistic or antagonistic relationships between MOF … We therefore recommend that future MOF adsorption studies … c) because SHAP incorporates feature interaction effects in …,0TXk8LRhf-UJ,"M Jiang, W Fu, X Zhao, R Gao, D Xu, S Wang - Journal of Cleaner …, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0959652626014630,unknown,unknown
Machine learning-assisted simulated annealing for deciphering multi-factor coupling mechanisms in complex wastewater adsorption systems with experimental …,"Z Yang, Y Liu, Z Wang, R Yang, J Lei, Y Zhang…",2025,2,"… molecular descriptors (MC, MW, and MR) on adsorption … relied on the synergistic effects of multiple interactions. Their … In addition, after 20 cycles of adsorption-desorption cycles, the MOF…",cmItsi49Zq4J,"Z Yang, Y Liu, Z Wang, R Yang, J Lei, Y Zhang… - Environmental …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S001393512502078X,unknown,unknown
Interpretable machine learning reveals the mechanistic pathways of CO2 capture with zeolite@ MOF Core–Shell composites,"F Bahmanzadegan, A Ghaemi",2026,2,"… to elucidate the adsorption behavior of Zeolite@MOF core–… loss modulate adsorption through nonlinear interactions. … synergistic regimes where adsorption energetics, diffusion, and …",nmhTVn1ey08J,"F Bahmanzadegan, A Ghaemi - Separation and Purification Technology, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1383586626004570,unknown,unknown
"Simulation, prediction and optimization of heavy metal adsorption by metal-organic frameworks with machine learning","J Wang, X Long, R Huang, Y Liang, S Wu…",2025,12,… framework predicting adsorption capacities for six HMs across 89 MOF … Given the intricate synergy among these variables and … adsorption through electronic interactions with MOF active …,Se5nzMyw4V0J,"J Wang, X Long, R Huang, Y Liang, S Wu… - Environmental …, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S001393512501864X,unknown,unknown
Deciphering the mechanisms of arsenic adsorption on MOF membranes via a machine learning framework incorporating attention mechanisms,"Y Wu, A Zhu, J Liu, Z Ji",2026,0,"… Through a synergistic evaluation using Pearson correlation and Grey … descriptors, enabling the framework to capture complex nonlinear interactions between material-specific structural …",v6CHNm055K8J,"Y Wu, A Zhu, J Liu, Z Ji - Journal of Environmental Chemical Engineering, 2026 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S2213343726034275,unknown,unknown
… Learning and Metal-Organic Framework Identifier Analysis for the Discovery of Hydrophobic Metal-Organic Frameworks with High Adsorption Capacity for Sulfur …,"Z Ming, X Bai, Y Li, K Guan, X Zhang, H Yao…",2026,0,"… allows synergistic effects between structural descriptors to be … -gas adsorption MOF design and improving interpretability. … ensure consistent treatment of nonbonded interactions.[47,54] …",tIpxFqtQQmIJ,"Z Ming, X Bai, Y Li, K Guan, X Zhang, H Yao… - Engineered …, 2026 - espublisher.com",[],https://www.espublisher.com/journals/articledetails/2037,unknown,unknown
Incorporating Mechanistic Insights into Structure–Property Modeling of Metal–Organic Frameworks for H2 and CH4 Adsorption: A CGCNN Approach,"KK Asiedu, LEK Achenie, T Asamoah…",2025,5,"… demonstrated that MOF descriptors for CH4 adsorption were … in MOF design, where the complex interaction between … hydrogen absorption, driven by the synergistic effect of both MOF …",w38cksH-2SMJ,"KK Asiedu, LEK Achenie, T Asamoah… - Industrial & …, 2025 - ACS Publications",[],https://pubs.acs.org/doi/abs/10.1021/acs.iecr.4c03301,unknown,unknown
